AREANM,AREACD,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Region_Group
Hartlepool and Stockton-on-Tees,UKC11,9269,9362,9765,10281,10721,11068,11302,11744,12177,12633,12923,13241,13741,13887,14244,14734,14752,15121,15622,15291,Other
South Teesside,UKC12,8988,8799,9201,9820,10289,10363,10532,10913,11289,11753,11904,12160,12901,12893,13144,13991,14124,14601,14972,14753,Other
Darlington,UKC13,9637,9656,9753,10681,11538,11639,11929,12187,12391,12623,13222,13219,13881,13806,13700,14341,14729,14856,15537,15487,Other
Durham CC,UKC14,9238,9573,9886,10470,10868,11038,11207,11747,11944,12295,12529,12775,13232,13522,13655,14161,14430,14718,15325,15221,Other
Northumberland,UKC21,10301,10563,11021,11820,12276,12504,13027,13432,13675,14505,14803,15681,16629,16469,16617,17288,17681,17842,18522,18016,Other
Tyneside,UKC22,9209,9594,9669,10261,10734,10998,11294,11789,11806,12197,12523,12681,13275,13493,13618,14350,14542,14759,15489,15505,Other
Sunderland,UKC23,8515,8589,8990,9664,10029,10335,10562,10862,11258,11591,12006,12189,12626,12863,13139,13781,14111,14111,14563,14998,Northern England
West Cumbria,UKD11,9028,9553,9717,10440,11020,11025,11464,12021,12315,12895,13692,13910,14422,14747,14940,15858,16114,16411,17281,17578,Other
East Cumbria,UKD12,10952,11509,11767,12075,12935,13355,13963,14464,14993,15472,15802,16110,16870,17196,17215,17962,18623,18997,19843,19928,Other
Manchester,UKD33,7181,7553,8173,8633,8996,9431,9483,9713,10093,10385,10673,10903,11398,11382,11593,11927,12258,12514,13189,13184,Northern England
Greater Manchester South West,UKD34,11958,12268,12823,13618,13901,14259,14500,14879,15257,15641,16088,16271,16520,16402,16554,17133,17395,17624,18809,18786,Northern England
Greater Manchester South East,UKD35,9898,10151,10791,11467,11702,12027,12394,12557,12983,13465,13950,14181,14785,14924,15186,15789,16209,16647,17463,17561,Northern England
Greater Manchester North West,UKD36,9951,10185,10651,11254,11614,11837,12072,12450,12707,13140,13589,13697,14005,14057,14152,14757,15060,15174,15450,15351,Northern England
Greater Manchester North East,UKD37,9090,9343,9834,10404,10774,11026,11160,11568,11845,12272,12715,12877,13245,13280,13413,14075,14492,14826,15435,15284,Northern England
Blackburn with Darwen,UKD41,8474,8626,9048,9166,9432,9395,9729,9966,10469,10776,10951,10916,11132,11453,11422,11630,11722,12074,12497,12450,Other
Blackpool,UKD42,9597,9838,9908,10766,10913,11044,10828,10974,11139,11373,11882,12176,12675,12845,13281,13446,13681,13986,14404,14795,Other
Lancaster and Wyre,UKD44,9241,9555,9839,10539,10982,11389,11724,12105,12492,12904,13403,13773,14522,14491,14686,15073,15499,15778,16212,16355,Other
Mid Lancashire,UKD45,10815,11115,11381,12136,12682,12946,13310,13718,14158,14589,15083,15416,16054,15973,16139,16570,16805,17195,18083,17843,Other
East Lancashire,UKD46,8318,8560,8846,9386,9768,9970,10286,10714,11244,11603,12200,12681,13154,13163,13390,13698,14063,14152,14864,14808,Other
Chorley and West Lancashire,UKD47,10408,10599,10990,11789,12246,12593,12964,13390,13873,14290,14828,15236,15860,15781,16188,16669,16863,17249,18456,18660,Other
Warrington,UKD61,10432,10814,11215,12218,12792,13043,13371,14094,14328,14831,15535,15599,15843,15905,16226,17162,17269,17760,19071,19377,Other
Cheshire East,UKD62,12171,12540,13093,13664,13904,14822,15552,15996,16505,17033,17534,17863,18435,18315,18518,19267,20306,20899,22065,22025,Other
Cheshire West and Chester,UKD63,11089,11380,11954,12479,12749,13528,14315,14946,15404,15808,16359,16852,17455,17352,17384,18273,18730,19064,19858,19372,Other
East Merseyside,UKD71,8232,8499,8915,9658,10151,10431,10756,11178,11615,11977,12616,12923,13440,13499,13657,14144,14432,14605,15247,15334,Other
Liverpool,UKD72,8445,8621,9098,9597,10092,10328,10637,10966,11129,11661,12025,12046,12627,12725,12879,13348,13723,14049,14566,14538,Northern England
Sefton,UKD73,11403,11796,12055,12103,11914,12419,12786,13148,13691,13958,14364,14697,15588,15670,15760,16480,17014,16958,17762,17672,Other
Wirral,UKD74,10261,10677,11124,11861,12268,12825,13237,13410,13537,13781,14488,14866,15495,15542,15595,16239,16684,16948,17499,17362,Other
"Kingston upon Hull, City of",UKE11,7411,7791,8237,9031,9548,9833,9837,9965,10164,10239,10584,10896,11426,11451,11786,12155,12264,12605,13103,13380,Northern England
East Riding of Yorkshire,UKE12,10802,11065,11873,12220,12202,12707,13181,13774,14299,14918,15270,15456,15889,15962,16317,16707,16901,17167,18215,18427,Other
North and North East Lincolnshire,UKE13,9293,9711,9908,10294,10706,10988,11403,11742,11941,12348,13042,13072,13206,13206,13731,14144,14230,14421,14958,14994,Other
York,UKE21,10532,11347,12061,12499,13033,13614,13547,13181,13442,14133,14898,14995,15567,15527,15685,16462,16760,17307,17909,18070,Other
North Yorkshire CC,UKE22,11701,12492,12614,12820,13244,13844,14232,14710,15516,16437,16889,17242,17936,17657,18047,18792,19150,19238,20403,20611,Other
"Barnsley, Doncaster and Rotherham",UKE31,8747,9106,9562,10206,10582,10825,11186,11427,11753,12116,12597,12693,12996,13150,13525,14079,14471,14875,15388,15540,Other
Sheffield,UKE32,9331,9629,10031,10546,11144,11458,11666,12213,12208,12393,12649,12980,13445,13233,13280,13697,13911,14362,14854,15057,Northern England
Bradford,UKE41,9314,9562,9975,10652,10609,10832,10957,11362,11412,11663,12069,12240,12483,12345,12465,12892,13331,13666,14302,14444,Other
Leeds,UKE42,10178,10513,10879,11730,12080,12366,12631,12770,12986,13391,14023,14290,14545,14575,14907,15278,15693,15923,16647,16814,Northern England
Calderdale and Kirklees,UKE44,9519,9905,10251,10894,11178,11410,11818,12231,12505,12846,13377,13461,13715,13710,13924,14490,14905,15181,15934,16092,Other
Wakefield,UKE45,9311,9719,10039,10694,11028,11414,11852,12287,12645,13015,13646,13688,13936,14073,14022,14505,14876,15107,15830,15955,Other
